
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: compute_JK()                   :      0.000u      0.000s      1.029w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.245w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.497w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.030w    703 calls
HF: Form F                          :      0.000u      0.000s      0.096w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     14.351w    623 calls
HF: Form C                          :      0.000u      0.000s      1.401w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.805w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.053w     80 calls
DFH: initialize()                   :      0.000u      0.000s      8.336w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.023w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.889w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.215w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.019w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.057w     80 calls
HF: Guess                           :      0.000u      0.000s     14.493w     80 calls
| SAD Guess                         :      0.000u      0.000s     14.257w     80 calls
HF: Form G                          :      0.000u      0.000s      1.234w    703 calls
| JK: D                             :      0.000u      0.000s      0.022w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.054w    703 calls
| JK: JK                            :      0.000u      0.000s      1.035w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      1.029w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.245w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.497w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.030w    703 calls
HF: Form F                          :      0.000u      0.000s      0.096w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     14.351w    623 calls
HF: Form C                          :      0.000u      0.000s      1.401w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:31:19 2023
Timers Off: Mon Nov 13 13:33:55 2023

Wall Time:      155.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:31:19 2023
Timers Off: Mon Nov 13 13:33:55 2023

Wall Time:      155.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:59 2023
Timers Off: Mon Nov 13 13:42:04 2023

Wall Time:      185.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.852w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.499w    240 calls
DFH: initialize()                   :      0.000u      0.000s     10.193w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.952w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.228w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.866w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.134w     80 calls
HF: Guess                           :      0.000u      0.000s     18.885w     80 calls
SAD Guess                           :      0.000u      0.000s     18.640w     80 calls
HF: Form G                          :      0.000u      0.000s      0.738w    703 calls
JK: D                               :      0.000u      0.000s      0.017w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.047w    703 calls
JK: JK                              :      0.000u      0.000s      0.459w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.453w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.115w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.299w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.161w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     16.439w    623 calls
HF: Form C                          :      0.000u      0.000s      1.684w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.852w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.329w     80 calls
DFH: initialize()                   :      0.000u      0.000s     10.193w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.169w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.952w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.228w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.866w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.134w     80 calls
HF: Guess                           :      0.000u      0.000s     18.885w     80 calls
| SAD Guess                         :      0.000u      0.000s     18.640w     80 calls
HF: Form G                          :      0.000u      0.000s      0.738w    703 calls
| JK: D                             :      0.000u      0.000s      0.017w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.047w    703 calls
| JK: JK                            :      0.000u      0.000s      0.459w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.453w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.115w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.299w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.161w    703 calls
HF: Form F                          :      0.000u      0.000s      0.021w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     16.439w    623 calls
HF: Form C                          :      0.000u      0.000s      1.684w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:59 2023
Timers Off: Mon Nov 13 13:42:06 2023

Wall Time:      186.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.808w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.277w    240 calls
DFH: initialize()                   :      0.000u      0.000s     10.306w     80 calls
DFH: AO Construction                :      0.000u      0.000s      1.224w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.292w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.920w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.164w     80 calls
HF: Guess                           :      0.000u      0.000s     20.141w     80 calls
SAD Guess                           :      0.000u      0.000s     19.805w     80 calls
HF: Form G                          :      0.000u      0.000s      0.748w    703 calls
JK: D                               :      0.000u      0.000s      0.102w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.047w    703 calls
JK: JK                              :      0.000u      0.000s      0.464w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.452w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.115w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.296w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.059w    703 calls
HF: Form F                          :      0.000u      0.000s      0.022w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     17.283w    623 calls
HF: Form C                          :      0.000u      0.000s      1.401w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.808w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.183w     80 calls
DFH: initialize()                   :      0.000u      0.000s     10.306w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.094w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      1.224w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.292w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.920w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.164w     80 calls
HF: Guess                           :      0.000u      0.000s     20.141w     80 calls
| SAD Guess                         :      0.000u      0.000s     19.805w     80 calls
HF: Form G                          :      0.000u      0.000s      0.748w    703 calls
| JK: D                             :      0.000u      0.000s      0.102w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.047w    703 calls
| JK: JK                            :      0.000u      0.000s      0.464w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.452w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.115w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.296w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.059w    703 calls
HF: Form F                          :      0.000u      0.000s      0.022w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     17.283w    623 calls
HF: Form C                          :      0.000u      0.000s      1.401w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:56 2023
Timers Off: Mon Nov 13 13:42:06 2023

Wall Time:      189.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:59 2023
Timers Off: Mon Nov 13 13:42:06 2023

Wall Time:      187.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      2.084w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.122w    240 calls
DFH: initialize()                   :      0.000u      0.000s      9.722w     80 calls
DFH: AO Construction                :      0.000u      0.000s      1.194w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.170w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.635w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.146w     80 calls
HF: Guess                           :      0.000u      0.000s     19.154w     80 calls
SAD Guess                           :      0.000u      0.000s     18.702w     80 calls
HF: Form G                          :      0.000u      0.000s      0.985w    703 calls
JK: D                               :      0.000u      0.000s      0.042w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.099w    703 calls
JK: JK                              :      0.000u      0.000s      0.725w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.717w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.114w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.555w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.079w    703 calls
HF: Form F                          :      0.000u      0.000s      0.038w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     18.220w    623 calls
HF: Form C                          :      0.000u      0.000s      1.730w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      2.084w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.290w     80 calls
DFH: initialize()                   :      0.000u      0.000s      9.722w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.832w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      1.194w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.170w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.635w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.146w     80 calls
HF: Guess                           :      0.000u      0.000s     19.154w     80 calls
| SAD Guess                         :      0.000u      0.000s     18.702w     80 calls
HF: Form G                          :      0.000u      0.000s      0.985w    703 calls
| JK: D                             :      0.000u      0.000s      0.042w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.099w    703 calls
| JK: JK                            :      0.000u      0.000s      0.725w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.717w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.114w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.555w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.079w    703 calls
HF: Form F                          :      0.000u      0.000s      0.038w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     18.220w    623 calls
HF: Form C                          :      0.000u      0.000s      1.730w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:56 2023
Timers Off: Mon Nov 13 13:42:06 2023

Wall Time:      190.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:59 2023
Timers Off: Mon Nov 13 13:42:07 2023

Wall Time:      187.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.849w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.399w    240 calls
DFH: initialize()                   :      0.000u      0.000s      9.142w     80 calls
DFH: AO Construction                :      0.000u      0.000s      1.031w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.146w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.492w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.066w     80 calls
HF: Guess                           :      0.000u      0.000s     20.002w     80 calls
SAD Guess                           :      0.000u      0.000s     19.606w     80 calls
HF: Form G                          :      0.000u      0.000s      0.989w    703 calls
JK: D                               :      0.000u      0.000s      0.020w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.101w    703 calls
JK: JK                              :      0.000u      0.000s      0.731w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.724w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.131w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.552w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.102w    703 calls
HF: Form F                          :      0.000u      0.000s      0.030w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     17.043w    623 calls
HF: Form C                          :      0.000u      0.000s      1.358w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.849w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.268w     80 calls
DFH: initialize()                   :      0.000u      0.000s      9.142w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.131w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      1.031w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.146w     80 calls
HF: Form core H                     :      0.000u      0.000s      2.492w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.066w     80 calls
HF: Guess                           :      0.000u      0.000s     20.002w     80 calls
| SAD Guess                         :      0.000u      0.000s     19.606w     80 calls
HF: Form G                          :      0.000u      0.000s      0.989w    703 calls
| JK: D                             :      0.000u      0.000s      0.020w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.101w    703 calls
| JK: JK                            :      0.000u      0.000s      0.731w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.724w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.131w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.552w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.102w    703 calls
HF: Form F                          :      0.000u      0.000s      0.030w    703 calls
HF: Form D                          :      0.000u      0.000s      0.015w    703 calls
HF: DIIS                            :      0.000u      0.000s     17.043w    623 calls
HF: Form C                          :      0.000u      0.000s      1.358w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:56 2023
Timers Off: Mon Nov 13 13:42:07 2023

Wall Time:      191.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 13:38:56 2023
Timers Off: Mon Nov 13 13:42:07 2023

Wall Time:      191.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:42 2023
Timers Off: Mon Nov 13 15:09:56 2023

Wall Time:      554.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:42 2023
Timers Off: Mon Nov 13 15:09:56 2023

Wall Time:      554.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      5.183w    320 calls
DFH: sparsity prep                  :      0.000u      0.000s      5.876w    320 calls
DFH: initialize()                   :      0.000u      0.000s     28.543w    320 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      6.421w    960 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.581w    320 calls
DFH: initialize()                   :      0.000u      0.000s     28.108w    320 calls
DFH: AO Construction                :      0.000u      0.000s      3.332w    320 calls
HF: Form core H                     :      0.000u      0.000s      7.754w    320 calls
HF: Form core H                     :      0.000u      0.000s      7.987w    320 calls
HF: Form S/X                        :      0.000u      0.000s      0.393w    320 calls
HF: Guess                           :      0.000u      0.000s     55.802w    320 calls
SAD Guess                           :      0.000u      0.000s     54.733w    320 calls
HF: Form G                          :      0.000u      0.000s      2.600w   2813 calls
JK: D                               :      0.000u      0.000s      0.069w   2813 calls
JK: USO2AO                          :      0.000u      0.000s      0.469w   2813 calls
JK: JK                              :      0.000u      0.000s      1.791w   2813 calls
DFH: compute_JK()                   :      0.000u      0.000s      1.761w   2813 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   2813 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   2813 calls
DFH: compute_K                      :      0.000u      0.000s      1.092w   2813 calls
DFH: compute_J                      :      0.000u      0.000s      0.417w   2813 calls
JK: AO2USO                          :      0.000u      0.000s      0.122w   2813 calls
DFH: compute_K                      :      0.000u      0.000s      0.988w   2813 calls

: Form F                          :      0.000u      0.000s      0.123w   2813 calls
JK: AO2USO                          :      0.000u      0.000s      0.128w   2813 calls
HF: Form D                          :      0.000u      0.000s      0.093w   2813 calls
HF: Form F                          :      0.000u      0.000s      0.091w   2813 calls
Host: AS-Laptop

: DIIS                            :      0.000u      0.000s     49.011w   2493 calls
Timers On : Mon Nov 13 15:00:42 2023
     0.000u      0.000s     51.053w   2493 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      5.876w    320 calls

Wall Time:      554.27 seconds

----------------------------------------------------
Libint2ERI::Libint2ERI            :      0.000u      0.000s      3.828w    320 calls

|                                                      Time (seconds)
Module                                       User      System        Wall        Calls
| bint2ERI::Libint2ERI            :      0.000u      0.000s      3.586w    320 calls
Libint2ERI::Libint2ERI            :      0.000u      0.000s      2.593w    640 calls

| DFH: sparsity prep                  :      0.000u      0.000s      8.590w    320 calls
| bint2ERI::Libint2ERI              :      0.000u      0.000s      9.140w    960 calls
DFH: AO Construction              :      0.000u      0.000s      3.509w    320 calls

HF: Form core H                     :      0.000u      0.000s      7.987w    320 calls
DFH: AO-Met. Contraction          :      0.000u      0.000s      0.581w    320 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.648w    320 calls
HF: Form core H                     :      0.000u      0.000s      7.754w    320 calls
HF: Form S/X                        :      0.000u      0.000s      0.419w    320 calls
HF: Guess                           :      0.000u      0.000s     59.280w    320 calls
HF: Guess                           :      0.000u      0.000s     55.802w    320 calls
| D Guess                           :      0.000u      0.000s     55.306w    320 calls
SAD Guess                         :      0.000u      0.000s     54.733w    320 calls

HF: Form G                          :      0.000u      0.000s      2.252w   2813 calls
HF: Form G                          :      0.000u      0.000s      2.600w   2813 calls
| : D                               :      0.000u      0.000s      0.069w   2813 calls
JK: USO2AO                          :      0.000u      0.000s      0.170w   2813 calls
JK: JK                              :      0.000u      0.000s      2.385w   2813 calls
| DFH: compute_JK()                   :      0.000u      0.000s      2.134w   2813 calls
| H: Grabbing AOs                   :      0.000u      0.000s      0.002w   2813 calls
JK: USO2AO                        :      0.000u      0.000s      0.233w   2813 calls
| H: compute_J                      :      0.000u      0.000s      0.581w   2813 calls
JK: JK                            :      0.000u      0.000s      1.587w   2813 calls

JK: AO2USO                          :      0.000u      0.000s      0.217w   2813 calls
HF: Form F                          :      0.000u      0.000s      0.088w   2813 calls
HF: Form D                          :      0.000u      0.000s      0.062w   2813 calls| HF: DIIS                            :      0.000u      0.000s     48.550w   2493 c| | | HF: Form C                          :      0.000u      0.000s      5.041w   24| | | ls
DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   2813 calls
| | | 
--------------------------------------------------------------------------------------DFH: compute_J                :      0.000u      0.000s      0.501w   2813 calls
| | | parsity prep                  :      0.000u      0.000s      8.590w    320 calls
DFH: compute_K                :      0.000u      0.000s      0.988w   2813 calls
| bint2ERI::Libint2ERI            :      0.000u      0.000s      6.812w    320 calls
JK: AO2USO                        :      0.000u      0.000s      0.128w   2813 calls

| | | DFH: compute_K                :      0.000u      0.000s      1.092w   2813 calls
HF: Form F                          :      0.000u      0.000s      0.091w   2813 callsJK| AO2USO                        :      0.000u      0.000s      0.122w   2813 calls
HF: Form D                          :      0.000u      0.000s      0.054w   2813 calls
HF: DIIS                            :      0.000u      0.000s     51.053w   2493 calls
DFH: AO Construction              :      0.000u      0.000s      3.510w    320 calls

HF: DIIS                            :      0.000u      0.000s     49.011w   2493 calls
DFH: AO-Met. Contraction          :      0.000u      0.000s      0.648w    320 calls
HF: Form C                          :      0.000u      0.000s      5.312w   2493 calls
HF: Form core H                     :      0.000u      0.000s      8.180w    320 calls
HF: Form S/X                        :      0.000u      0.000s      0.272w    320 calls
HF: Guess                           :      0.000u      0.000s     56.731w    320 calls
| SAD Guess                         :      0.000u      0.000s     55.306w    320 calls
HF: Form G                          :      0.000u      0.000s      3.003w   2813 calls
| JK: D                             :      0.000u      0.000s      0.069w   2813 calls
| JK: USO2AO                        :      0.000u      0.000s      0.170w   2813 calls
| JK: JK                            :      0.000u      0.000s      2.385w   2813 calls
| | DFH: compute_JK()               :      0.000u      0.000s      2.134w   2813 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   2813 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.581w   2813 calls
| | | DFH: compute_K                :      0.000u      0.000s      1.250w   2813 calls
| JK: AO2USO                        :      0.000u      0.000s      0.217w   2813 calls
HF: Form F                          :      0.000u      0.000s      0.088w   2813 calls
HF: Form D                          :      0.000u      0.000s      0.062w   2813 calls
HF: DIIS                            :      0.000u      0.000s     48.550w   2493 calls
HF: Form C                          :      0.000u      0.000s      5.041w   2493 calls

**************************************************************************************

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:42 2023
Timers Off: Mon Nov 13 15:09:57 2023

Wall Time:      554.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      5.199w    320 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      6.491w    960 calls
DFH: initialize()                   :      0.000u      0.000s     27.551w    320 calls
DFH: AO Construction                :      0.000u      0.000s      3.164w    320 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      1.022w    320 calls
HF: Form core H                     :      0.000u      0.000s      6.425w    320 calls
HF: Form S/X                        :      0.000u      0.000s      0.423w    320 calls
HF: Guess                           :      0.000u      0.000s     55.037w    320 calls
SAD Guess                           :      0.000u      0.000s     53.705w    320 calls
HF: Form G                          :      0.000u      0.000s      2.365w   2813 calls
JK: D                               :      0.000u      0.000s      0.080w   2813 calls
JK: USO2AO                          :      0.000u      0.000s      0.270w   2813 calls
JK: JK                              :      0.000u      0.000s      1.718w   2813 calls
DFH: compute_JK()                   :      0.000u      0.000s      1.646w   2813 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   2813 calls
DFH: compute_J                      :      0.000u      0.000s      0.451w   2813 calls
DFH: compute_K                      :      0.000u      0.000s      0.999w   2813 calls
JK: AO2USO                          :      0.000u      0.000s      0.128w   2813 calls
HF: Form F                          :      0.000u      0.000s      0.093w   2813 calls
HF: Form D                          :      0.000u      0.000s      0.119w   2813 calls
HF: DIIS                            :      0.000u      0.000s     55.032w   2493 calls
HF: Form C                          :      0.000u      0.000s      5.382w   2493 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      5.199w    320 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      3.641w    320 calls
DFH: initialize()                   :      0.000u      0.000s     27.551w    320 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      2.850w    640 calls
| DFH: AO Construction              :      0.000u      0.000s      3.164w    320 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      1.022w    320 calls
HF: Form core H                     :      0.000u      0.000s      6.425w    320 calls
HF: Form S/X                        :      0.000u      0.000s      0.423w    320 calls
HF: Guess                           :      0.000u      0.000s     55.037w    320 calls
| SAD Guess                         :      0.000u      0.000s     53.705w    320 calls
HF: Form G                          :      0.000u      0.000s      2.365w   2813 calls
| JK: D                             :      0.000u      0.000s      0.080w   2813 calls
| JK: USO2AO                        :      0.000u      0.000s      0.270w   2813 calls
| JK: JK                            :      0.000u      0.000s      1.718w   2813 calls
| | DFH: compute_JK()               :      0.000u      0.000s      1.646w   2813 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   2813 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.451w   2813 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.999w   2813 calls
| JK: AO2USO                        :      0.000u      0.000s      0.128w   2813 calls
HF: Form F                          :      0.000u      0.000s      0.093w   2813 calls
HF: Form D                          :      0.000u      0.000s      0.119w   2813 calls
HF: DIIS                            :      0.000u      0.000s     55.032w   2493 calls
HF: Form C                          :      0.000u      0.000s      5.382w   2493 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:39 2023
Timers Off: Mon Nov 13 15:09:57 2023

Wall Time:      558.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:39 2023
Timers Off: Mon Nov 13 15:09:57 2023

Wall Time:      558.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:39 2023
Timers Off: Mon Nov 13 15:09:57 2023

Wall Time:      558.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:00:39 2023
Timers Off: Mon Nov 13 15:09:57 2023

Wall Time:      558.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Mon Nov 13 15:12:57 2023
Timers On : Mon Nov 13 15:12:57 2023
Timers Off: Mon Nov 13 15:18:59 2023

Wall Time:      362.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

Host: AS-Laptop

